precinct,maximum_ticketed_car_type,percentage_maximum_ticketed_car_type,maximum_ticketed_vehicle_color,percentage_maximum_ticketed_vehicle_color,maximum_ticketed_violation_code,maximum_ticketed_violation_definition,maximum_ticketed_plate_type,percent_maximum_ticketed_plate_type,quotas_condition_met,max_tickets_issued_time_of_day,collisions,time
75,Suburban,39.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,True,Morning,469.0,3-2015
76,Suburban,43.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,147.0,3-2015
77,Suburban,38.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,True,Morning,175.0,3-2015
78,Suburban,45.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Afternoon,195.0,3-2015
79,Suburban,42.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,False,Morning,179.0,3-2015
81,Suburban,41.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,93.0,True,Morning,121.0,3-2015
83,Suburban,40.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Morning,172.0,3-2015
84,Suburban,32.0,WHITE,28.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,68.0,True,Morning,278.0,3-2015
88,Suburban,39.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,True,Morning,146.0,3-2015
90,Suburban,50.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,False,Morning,343.0,3-2015
94,Suburban,42.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,199.0,3-2015
100,Suburban,42.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,91.0,True,Morning,61.0,3-2015
101,Suburban,37.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,92.0,True,Morning,70.0,3-2015
102,4 Door Sedan,40.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,True,Morning,360.0,3-2015
103,4 Door Sedan,43.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,314.0,3-2015
104,Suburban,40.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,334.0,3-2015
105,4 Door Sedan,43.0,GRAY,30.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,86.0,False,Afternoon,583.0,3-2015
106,Suburban,40.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,84.0,False,Afternoon,335.0,3-2015
107,4 Door Sedan,46.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,False,Morning,363.0,3-2015
108,Suburban,37.0,BLACK,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,73.0,True,Afternoon,452.0,3-2015
109,Suburban,41.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,76.0,False,Morning,590.0,3-2015
110,Suburban,40.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,78.0,False,Morning,275.0,3-2015
111,Suburban,36.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,81.0,False,Afternoon,340.0,3-2015
112,4 Door Sedan,39.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,True,Morning,244.0,3-2015
113,4 Door Sedan,46.0,GRAY,30.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,88.0,True,Morning,288.0,3-2015
114,4 Door Sedan,39.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Morning,393.0,3-2015
115,Suburban,40.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,77.0,False,Morning,287.0,3-2015
120,Suburban,43.0,GRAY,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,93.0,True,Morning,193.0,3-2015
121,Suburban,42.0,GRAY,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,93.0,False,Morning,347.0,3-2015
122,4 Door Sedan,43.0,BLACK,33.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,93.0,True,Morning,315.0,3-2015
123,Suburban,38.0,BLACK,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,92.0,True,Morning,159.0,3-2015
1,Van,42.0,WHITE,47.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,52.0,True,Morning,266.0,4-2015
5,Van,31.0,WHITE,39.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,54.0,True,Afternoon,214.0,4-2015
6,Van,27.0,WHITE,37.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,62.0,True,Morning,134.0,4-2015
7,Van,27.0,WHITE,37.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,56.0,True,Afternoon,107.0,4-2015
9,Van,27.0,WHITE,41.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,58.0,True,Morning,123.0,4-2015
10,Van,29.0,WHITE,48.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,53.0,True,Morning,261.0,4-2015
13,Van,34.0,WHITE,48.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",passenger,49.0,True,Morning,251.0,4-2015
14,Van,37.0,WHITE,55.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",commercial,48.0,True,Afternoon,322.0,4-2015
17,Van,34.0,WHITE,53.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,47.0,True,Morning,289.0,4-2015
18,Van,34.0,WHITE,52.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,46.0,True,Afternoon,358.0,4-2015
19,Van,40.0,WHITE,43.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,commercial,49.0,True,Morning,474.0,4-2015
20,Van,32.0,WHITE,41.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,55.0,True,Morning,182.0,4-2015
22,Van,35.0,WHITE,47.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",commercial,59.0,True,Morning,8.0,4-2015
23,Suburban,33.0,WHITE,28.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,67.0,True,Morning,117.0,4-2015
24,Van,27.0,WHITE,39.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,58.0,True,Morning,116.0,4-2015
25,Suburban,31.0,WHITE,30.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,66.0,True,Morning,202.0,4-2015
26,Suburban,29.0,WHITE,36.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,65.0,True,Morning,92.0,4-2015
28,Suburban,32.0,GRAY,26.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,72.0,True,Morning,69.0,4-2015
30,Suburban,32.0,WHITE,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,75.0,False,Morning,73.0,4-2015
32,Suburban,35.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,120.0,4-2015
33,Suburban,29.0,WHITE,32.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,66.0,True,Afternoon,117.0,4-2015
34,Suburban,34.0,WHITE,30.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,72.0,True,Morning,129.0,4-2015
40,Suburban,38.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Morning,216.0,4-2015
41,Suburban,36.0,WHITE,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,77.0,True,Morning,107.0,4-2015
42,Suburban,38.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Morning,108.0,4-2015
43,Suburban,38.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,True,Morning,273.0,4-2015
44,Suburban,39.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Night,218.0,4-2015
45,4 Door Sedan,40.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,273.0,4-2015
46,Suburban,38.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,True,Morning,132.0,4-2015
47,4 Door Sedan,39.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Morning,273.0,4-2015
48,Suburban,41.0,GRAY,27.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Afternoon,164.0,4-2015
49,Suburban,38.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,True,Morning,203.0,4-2015
50,4 Door Sedan,41.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,175.0,4-2015
52,Suburban,38.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,True,Morning,230.0,4-2015
60,Suburban,41.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,88.0,True,Morning,153.0,4-2015
61,Suburban,44.0,BLACK,31.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,88.0,True,Afternoon,285.0,4-2015
62,Suburban,44.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,212.0,4-2015
63,4 Door Sedan,40.0,BLACK,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Afternoon,203.0,4-2015
66,Suburban,56.0,GRAY,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,255.0,4-2015
67,Suburban,39.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,False,Morning,273.0,4-2015
68,Suburban,41.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,True,Morning,217.0,4-2015
69,4 Door Sedan,39.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,True,Morning,142.0,4-2015
70,Suburban,41.0,GRAY,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Afternoon,244.0,4-2015
71,Suburban,40.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,True,Morning,139.0,4-2015
72,Suburban,45.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,True,Morning,275.0,4-2015
73,Suburban,39.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,True,Morning,158.0,4-2015
75,Suburban,39.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,True,Morning,419.0,4-2015
76,Suburban,41.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,78.0,True,Morning,141.0,4-2015
77,Suburban,37.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Morning,151.0,4-2015
78,Suburban,43.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,186.0,4-2015
79,Suburban,42.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Morning,164.0,4-2015
81,Suburban,38.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,93.0,True,Morning,103.0,4-2015
83,Suburban,39.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,152.0,4-2015
84,Suburban,32.0,WHITE,29.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,67.0,True,Morning,239.0,4-2015
88,Suburban,37.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,True,Morning,104.0,4-2015
90,Suburban,49.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,True,Morning,277.0,4-2015
94,Suburban,38.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,186.0,4-2015
100,Suburban,41.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,True,Morning,45.0,4-2015
101,Suburban,36.0,GRAY,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,92.0,True,Morning,57.0,4-2015
102,4 Door Sedan,40.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,290.0,4-2015
103,4 Door Sedan,43.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,80.0,True,Morning,249.0,4-2015
104,Suburban,38.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,True,Morning,342.0,4-2015
105,4 Door Sedan,42.0,GRAY,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,87.0,True,Morning,508.0,4-2015
106,Suburban,40.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,84.0,True,Afternoon,249.0,4-2015
107,4 Door Sedan,46.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Morning,309.0,4-2015
108,Suburban,35.0,WHITE,26.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,72.0,True,Morning,411.0,4-2015
109,Suburban,41.0,WHITE,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,75.0,True,Morning,519.0,4-2015
110,Suburban,39.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,75.0,True,Morning,289.0,4-2015
111,Suburban,37.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,82.0,True,Afternoon,314.0,4-2015
112,4 Door Sedan,40.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,True,Morning,246.0,4-2015
113,4 Door Sedan,45.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,87.0,True,Morning,254.0,4-2015
114,4 Door Sedan,39.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,True,Morning,358.0,4-2015
115,Suburban,39.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,True,Morning,254.0,4-2015
120,4 Door Sedan,42.0,GRAY,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,93.0,True,Morning,183.0,4-2015
121,Suburban,43.0,BLACK,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,94.0,True,Afternoon,310.0,4-2015
122,Suburban,42.0,BLACK,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,94.0,True,Morning,280.0,4-2015
123,Suburban,38.0,BLACK,28.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,89.0,False,Morning,130.0,4-2015
1,Van,40.0,WHITE,47.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,48.0,False,Morning,295.0,5-2015
5,Van,30.0,WHITE,39.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,54.0,False,Afternoon,243.0,5-2015
6,Suburban,28.0,WHITE,37.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,61.0,False,Morning,139.0,5-2015
7,Suburban,28.0,WHITE,37.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,58.0,False,Afternoon,123.0,5-2015
9,Van,27.0,WHITE,41.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,58.0,False,Morning,145.0,5-2015
10,Van,31.0,WHITE,49.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,52.0,False,Morning,266.0,5-2015
13,Van,33.0,WHITE,48.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",passenger,50.0,False,Afternoon,249.0,5-2015
14,Van,38.0,WHITE,56.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",commercial,50.0,False,Afternoon,310.0,5-2015
17,Van,34.0,WHITE,52.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,45.0,False,Morning,312.0,5-2015
18,Van,34.0,WHITE,53.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,45.0,False,Morning,397.0,5-2015
19,Van,39.0,WHITE,43.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,48.0,False,Morning,481.0,5-2015
20,Van,32.0,WHITE,41.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,55.0,False,Morning,185.0,5-2015
22,Sedan,31.0,BLACK,22.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,54.0,True,Morning,10.0,5-2015
23,Suburban,31.0,WHITE,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,66.0,False,Morning,138.0,5-2015
24,Van,29.0,WHITE,39.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,58.0,False,Morning,119.0,5-2015
25,Suburban,34.0,WHITE,28.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,69.0,False,Morning,222.0,5-2015
26,Suburban,31.0,WHITE,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,68.0,False,Morning,95.0,5-2015
28,Suburban,33.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,75.0,False,Morning,95.0,5-2015
30,Suburban,35.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,False,Morning,89.0,5-2015
32,Suburban,36.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,119.0,5-2015
33,Suburban,31.0,WHITE,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,69.0,False,Morning,162.0,5-2015
34,Suburban,34.0,WHITE,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,72.0,False,Morning,183.0,5-2015
40,Suburban,37.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,False,Morning,235.0,5-2015
41,Suburban,39.0,WHITE,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,False,Morning,150.0,5-2015
42,Suburban,40.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,133.0,5-2015
43,Suburban,38.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,False,Morning,315.0,5-2015
44,Suburban,41.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,False,Morning,238.0,5-2015
45,4 Door Sedan,42.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,276.0,5-2015
46,Suburban,39.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,False,Morning,167.0,5-2015
47,4 Door Sedan,39.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,False,Morning,310.0,5-2015
48,Suburban,39.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Afternoon,204.0,5-2015
49,4 Door Sedan,37.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,214.0,5-2015
50,4 Door Sedan,40.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,False,Morning,201.0,5-2015
52,4 Door Sedan,38.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,False,Morning,251.0,5-2015
60,Suburban,42.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,False,Morning,194.0,5-2015
61,Suburban,44.0,BLACK,33.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,89.0,False,Afternoon,308.0,5-2015
62,Suburban,44.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,242.0,5-2015
63,4 Door Sedan,41.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,False,Afternoon,226.0,5-2015
66,Suburban,55.0,GRAY,33.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,False,Morning,263.0,5-2015
67,Suburban,39.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,False,Morning,309.0,5-2015
68,Suburban,41.0,BLACK,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,False,Morning,264.0,5-2015
69,Suburban,37.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,False,Morning,182.0,5-2015
70,Suburban,42.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Afternoon,262.0,5-2015
71,Suburban,42.0,GRAY,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,91.0,False,Morning,195.0,5-2015
72,Suburban,45.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,False,Morning,297.0,5-2015
73,Suburban,39.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,91.0,False,Morning,215.0,5-2015
75,Suburban,39.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,False,Morning,495.0,5-2015
76,Suburban,45.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,False,Morning,163.0,5-2015
77,Suburban,37.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,88.0,False,Morning,160.0,5-2015
78,Suburban,46.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,False,Morning,202.0,5-2015
79,Suburban,41.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,False,Morning,215.0,5-2015
81,Suburban,39.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,92.0,False,Morning,118.0,5-2015
83,Suburban,40.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,False,Morning,171.0,5-2015
84,Suburban,33.0,WHITE,28.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,68.0,False,Morning,256.0,5-2015
88,Suburban,38.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,False,Morning,187.0,5-2015
90,Suburban,49.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,False,Morning,293.0,5-2015
94,Suburban,39.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,False,Morning,203.0,5-2015
100,Suburban,40.0,GRAY,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,False,Morning,64.0,5-2015
101,Suburban,37.0,GRAY,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,False,Morning,88.0,5-2015
102,4 Door Sedan,41.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,314.0,5-2015
103,4 Door Sedan,44.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,False,Morning,275.0,5-2015
104,Suburban,39.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,False,Morning,390.0,5-2015
105,4 Door Sedan,43.0,GRAY,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,87.0,False,Afternoon,619.0,5-2015
106,Suburban,40.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,84.0,False,Afternoon,357.0,5-2015
107,4 Door Sedan,46.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,324.0,5-2015
108,Suburban,35.0,BLACK,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,73.0,False,Afternoon,454.0,5-2015
109,Suburban,40.0,WHITE,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,74.0,False,Morning,607.0,5-2015
110,Suburban,40.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,False,Morning,289.0,5-2015
111,Suburban,37.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,82.0,False,Afternoon,394.0,5-2015
112,4 Door Sedan,39.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,False,Morning,302.0,5-2015
113,4 Door Sedan,45.0,GRAY,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,87.0,False,Night,319.0,5-2015
114,4 Door Sedan,40.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,False,Morning,375.0,5-2015
115,Suburban,40.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,77.0,False,Morning,290.0,5-2015
120,4 Door Sedan,44.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,93.0,False,Morning,251.0,5-2015
121,Suburban,41.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,93.0,False,Afternoon,342.0,5-2015
122,Suburban,43.0,BLACK,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,94.0,False,Morning,397.0,5-2015
123,Suburban,41.0,GRAY,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,89.0,True,Morning,177.0,5-2015
1,Van,40.0,WHITE,47.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,50.0,False,Morning,304.0,6-2015
5,Van,30.0,WHITE,40.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,54.0,False,Afternoon,229.0,6-2015
6,Suburban,28.0,WHITE,37.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,62.0,False,Morning,141.0,6-2015
7,Suburban,27.0,WHITE,38.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,57.0,False,Afternoon,106.0,6-2015
9,Van,26.0,WHITE,40.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,60.0,True,Morning,129.0,6-2015
